Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
"Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery",,
"Sweet and Sour Chicken over
Rice (GF)
Thai Peanut Wrap (peanuts,
shellfish, soy, wheat)
Assorted Desserts","Beef Fajitas (wheat, dairy)
Chicken Philly on
Sheboygan Roll w/ White
Cheddar Cheese Sauce
(wheat, milk, soy, egg)
Red Beans and Rice (wheat)
Assorted Desserts","Chicken Strips (wheat, egg)
Cheesy Potatoes (milk)
Caesar Salad (wheat,
shellfish, eggs, soy, milk)
Assorted Desserts","Mango Chicken LEGS
(GF)
Steak Sandwich (milk,
wheat, soy)
Steak Fries (GF)
Assorted Desserts","BLT Sandwich (bread
contains -milk, soy, wheat)
Enchilada Casserole (milk)
(GF)
Corn Bites (egg, milk, wheat)
Assorted Desserts",,
"Beef Tacos (wheat)
Fish Tacos (wheat, milk, fish)
Curly Fries (wheat)
Broccoli w/ Cheese Sauce (milk)
Assorted Desserts","Swedish Meatballs (wheat,
milk, soy)
Egg Noodles (wheat, egg)
Pesto Sauce (milk, tree nuts)
Baked Chicken Breast
Assorted Desserts","Homemade Lasagna (milk,
wheat)
Vegetable Lasagna (milk,
wheat)
Rotisserie Chicken (GF)
Redskin Potatoes (GF)
Garlic Bread (wheat)
Assorted Desserts","Pizza Hot Dish (wheat,
milk)
Vegetarian Hot Dish
(wheat, milk)
Italian Sausage Sandwich
(bun contains – wheat, soy)
Chili Cheese Fries (milk,
wheat)
Assorted Desserts","Cayenne Kicker Chicken
Sandwich ( wheat, dairy, soy)
Shepard’s Pie (milk) (GF)
Tator Tots (GF)
Assorted Desserts",,
